WF番号,登録番号,登録申請日,承認番号,決裁番号,ステータス,ステータス更新日時,決裁日時,作成所管,営業室名,作成所管担当者,作成区分,資料名,補足,店舗番号,店舗名,リンク1,リンク2,チェック,廃止日,至急フラグ,締切日
1,W77N6577,2025-04-20,254028,25K7783,却下,2025-05-18,2025-05-24,総務部,第一課,高橋,新規,資料_4,W65N3244,72349,名古屋店,http://link1.com/1,http://link2.com/1,True,2025-07-07,True,2025-05-10
2,W95N5802,2025-12-23,251293,25K5561,申請中,2026-01-02,2026-01-04,人事部,第一課,鈴木,新規,資料_11,B79N3041,57078,東京店,http://link1.com/2,http://link2.com/2,False,,True,2026-01-20
3,W99N5974,2025-11-01,253764,25K5479,再申請,2025-11-11,2025-11-20,総務部,第二課,高橋,新規,資料_44,B10N7162,39109,大阪店,http://link1.com/3,http://link2.com/3,False,,False,2025-11-24
4,T52N4965,2025-02-09,253816,25K3702,申請中,2025-03-09,2025-03-14,総務部,第三課,伊藤,改訂,資料_6,W47N2569,72017,大阪店,http://link1.com/4,http://link2.com/4,True,,False,2025-03-03
5,T63N9364,2025-07-27,252706,25K4250,申請中,2025-07-30,2025-08-01,人事部,第二課,高橋,改訂,資料_38,B20N5014,95367,名古屋店,http://link1.com/5,http://link2.com/5,True,,True,2025-08-17
6,W50N4757,2025-06-09,258066,25K1701,却下,2025-06-15,2025-06-18,人事部,第二課,伊藤,新規,資料_30,T53N6760,48195,東京店,http://link1.com/6,http://link2.com/6,True,2025-08-04,True,2025-06-21
7,W41N3722,2025-09-11,259231,25K7105,却下,2025-09-17,2025-09-27,営業部,第三課,佐藤,改訂,資料_40,W45N6955,68739,東京店,http://link1.com/7,http://link2.com/7,True,2025-11-07,True,2025-10-09
8,B29N4390,2025-09-05,254792,25K2368,却下,2025-10-01,2025-10-09,人事部,第三課,田中,新規,資料_23,W43N2503,60543,大阪店,http://link1.com/8,http://link2.com/8,False,2025-11-22,True,2025-09-30
9,T28N2941,2025-10-15,258032,25K8198,承認済み,2025-11-08,2025-11-12,人事部,第一課,田中,改訂,資料_33,T33N6145,99318,名古屋店,http://link1.com/9,http://link2.com/9,True,,True,2025-11-04
10,W49N6402,2025-10-02,251204,25K1905,承認済み,2025-10-10,2025-10-14,人事部,第一課,伊藤,新規,資料_26,W51N5213,82503,名古屋店,http://link1.com/10,http://link2.com/10,False,,True,2025-10-19
11,B65N7295,2025-04-10,252654,25K2274,再申請,2025-04-14,2025-04-20,営業部,第二課,高橋,新規,資料_10,B54N8153,17346,福岡店,http://link1.com/11,http://link2.com/11,False,,False,2025-04-30
12,B86N4789,2025-06-27,256473,25K5274,申請中,2025-07-22,2025-07-30,営業部,第三課,鈴木,新規,資料_9,W37N1571,57096,大阪店,http://link1.com/12,http://link2.com/12,True,,False,2025-07-11
13,W51N7263,2025-09-11,254073,25K8814,再申請,2025-09-29,2025-10-05,人事部,第二課,鈴木,改訂,資料_48,T95N2816,37042,東京店,http://link1.com/13,http://link2.com/13,False,,True,2025-09-30
14,W58N8399,2025-10-14,258758,25K2170,承認済み,2025-11-10,2025-11-17,人事部,第三課,田中,改訂,資料_37,W90N1357,50350,東京店,http://link1.com/14,http://link2.com/14,True,,True,2025-11-05
15,T14N5399,2025-04-14,251833,25K8126,申請中,2025-04-14,2025-04-22,総務部,第一課,鈴木,新規,資料_45,T12N1058,68447,名古屋店,http://link1.com/15,http://link2.com/15,False,,True,2025-05-08
16,T16N2533,2025-10-07,256511,25K9344,申請中,2025-10-22,2025-10-27,経理部,第三課,高橋,改訂,資料_35,B72N1870,20134,福岡店,http://link1.com/16,http://link2.com/16,False,,True,2025-10-20
17,B28N2503,2025-10-04,254900,25K4561,申請中,2025-10-20,2025-10-22,経理部,第一課,田中,新規,資料_10,W22N6153,27790,東京店,http://link1.com/17,http://link2.com/17,False,,True,2025-10-23
18,B53N7840,2025-09-23,257892,25K8441,申請中,2025-10-01,2025-10-09,総務部,第三課,鈴木,新規,資料_12,B58N6295,12413,東京店,http://link1.com/18,http://link2.com/18,True,,False,2025-10-15
19,T68N6244,2025-07-10,259324,25K1184,再申請,2025-08-02,2025-08-08,人事部,第二課,高橋,改訂,資料_11,B71N9764,76443,大阪店,http://link1.com/19,http://link2.com/19,False,,False,2025-08-02
20,B79N8033,2025-01-08,256534,25K5692,申請中,2025-01-30,2025-02-07,経理部,第二課,高橋,新規,資料_49,B61N7821,12308,福岡店,http://link1.com/20,http://link2.com/20,False,,False,2025-01-31
